epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3174,1.72666,3.7149,1.74975,0.288,0.39843,0.19828,0.25746,0.15583,1.05065,2.92476,1.66089,0.24249,0.00032,0.00032,0.00032
2,34.0706,0.98136,1.68078,1.59203,0.31573,0.86336,0.62931,0.71952,0.58031,0.7593,1.31826,1.77005,0.18581,0.000646932,0.000646932,0.000646932
3,50.4475,0.92388,1.24857,1.54592,0.2374,0.92333,0.73276,0.86366,0.68273,0.75491,1.10472,1.64481,0.15848,0.0009604,0.0009604,0.0009604
4,67.3279,0.91059,0.98906,1.41643,0.1815,0.9194,0.78671,0.89527,0.71361,0.73609,0.87836,1.55333,0.12134,0.0012604,0.0012604,0.0012604
5,84.1858,0.85016,0.87642,1.46636,0.17504,0.97179,0.89093,0.97762,0.77695,0.71864,0.7387,1.5745,0.13309,0.00154694,0.00154694,0.00154694
6,100.485,0.79395,0.71047,1.46383,0.15631,0.93893,0.97414,0.9824,0.8109,0.64726,0.64748,1.58687,0.11347,0.001802,0.001802,0.001802
7,117.904,0.76347,0.68647,1.44311,0.17252,0.95773,0.90517,0.98037,0.79131,0.65036,0.59553,1.60389,0.11862,0.0017624,0.0017624,0.0017624
8,134.892,0.7849,0.66023,1.39812,0.17674,0.96559,0.96552,0.98856,0.8244,0.58395,0.54886,1.59946,0.11959,0.0017228,0.0017228,0.0017228
9,152.272,0.72047,0.6122,1.44931,0.17411,0.96513,0.95443,0.98978,0.81976,0.6125,0.54198,1.58391,0.13569,0.0016832,0.0016832,0.0016832
10,169.242,0.67028,0.53735,1.43051,0.1478,0.97984,0.9569,0.98782,0.84036,0.60399,0.52319,1.5494,0.14867,0.0016436,0.0016436,0.0016436
11,185.95,0.67921,0.59796,1.42624,0.15146,0.97092,0.96552,0.98754,0.83906,0.59048,0.58114,1.5144,0.2182,0.001604,0.001604,0.001604
