epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8442,1.76688,3.81471,1.79951,0.24834,0.0089,0.45652,0.0154,0.00523,1.52674,3.45837,1.5415,0.30577,0.00024,0.00024,0.00024
2,23.3432,1.05222,2.48713,1.53372,0.29319,0.8294,0.63424,0.76547,0.58523,0.8367,1.38185,1.5377,0.4295,0.0004901,0.0004901,0.0004901
3,34.7947,0.87109,1.49277,1.58035,0.23895,0.82419,0.63043,0.64286,0.49895,0.91602,1.49847,1.56215,0.27962,0.000729904,0.000729904,0.000729904
4,46.3034,0.97032,1.25358,1.48019,0.20077,0.75119,0.91896,0.93288,0.76416,0.69707,0.94933,1.50502,0.23599,0.000959412,0.000959412,0.000959412
5,57.6228,0.83353,1.01057,1.49091,0.13765,0.83613,0.95652,0.96349,0.78049,0.70164,0.83217,1.43543,0.18774,0.00117862,0.00117862,0.00117862
6,68.8963,0.77969,1.07962,1.27713,0.17397,0.97641,0.89999,0.98277,0.79819,0.66987,0.7266,1.41764,0.20667,0.00138754,0.00138754,0.00138754
7,80.2605,0.80204,0.78711,1.42183,0.2184,0.98812,0.86957,0.97849,0.77046,0.7827,0.70951,1.43317,0.21018,0.00158616,0.00158616,0.00158616
8,92.6809,0.87562,0.84166,1.32264,0.20441,0.99549,0.91304,0.98781,0.80682,0.69252,0.6705,1.39819,0.20451,0.0017228,0.0017228,0.0017228
9,104.645,0.9178,0.81614,1.43742,0.20043,0.98218,0.91304,0.98697,0.73391,0.80442,0.70134,1.40004,0.23055,0.0016832,0.0016832,0.0016832
10,116.37,0.80199,0.8472,1.40179,0.19501,0.97557,0.97826,0.98707,0.73982,0.81622,0.64257,1.4188,0.22961,0.0016436,0.0016436,0.0016436
