epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,297.956,1.4524,2.11096,2.97587,0.96656,0,0,0,0,0,0,0,0,0,3.63744,190.538,inf,85.0367,0,0.00328704,0.00328704,0.0704167
2,669.331,1.1105,1.19896,1.34345,0.87671,0,0.04864,0.02606,0.0046,0.00341,0.67144,0.09222,0.05233,0.01438,2.47918,2.83401,14.9567,1.41945,0,0.00661965,0.00661965,0.0404159
3,1045.23,1.11308,1.13721,1.23769,0.88413,0,0,0,0,0,0,0,0,0,0.97482,24.3803,31.4026,2.52355,0,0.00994938,0.00994938,0.0104123
4,1290.73,1.05881,1.07231,1.17892,0.86613,0,0.28872,0.32813,0.22575,0.1459,0.29055,0.33204,0.2327,0.13778,1.32158,1.38148,4.93559,0.9094,0,0.00999023,0.00999023,0.00999023
5,1529.66,0.9859,0.98622,1.12545,0.85902,0,0.33206,0.4981,0.36454,0.26482,0.32931,0.48966,0.35672,0.22341,0.94671,1.35777,2.66668,0.85611,0,0.00998264,0.00998264,0.00998264
6,1737.4,0.9153,0.90153,1.05628,0.85142,0,0.44297,0.7504,0.55831,0.39366,0.44036,0.7442,0.55209,0.31435,1.07071,1.15737,2.51355,0.88665,0,0.00997288,0.00997288,0.00997288
7,1970.27,0.87833,0.91194,0.99527,0.84393,0,0.50091,0.72839,0.58229,0.46443,0.49964,0.72599,0.58065,0.36845,0.72902,0.90615,1.81971,0.82289,0,0.00996097,0.00996097,0.00996097
8,2212.4,0.86791,0.90665,0.99982,0.83966,0,0.2944,0.32801,0.26941,0.21162,0.28931,0.30765,0.24393,0.11872,0.93019,2.11685,5.23913,0.86762,0,0.0099469,0.0099469,0.0099469
9,2469.02,0.82115,0.8803,0.96637,0.8299,0,0.47382,0.64773,0.5084,0.35729,0.47174,0.64278,0.50512,0.29687,1.12412,1.2067,2.06365,0.89311,0,0.00993068,0.00993068,0.00993068
10,2749.24,0.83916,0.86341,0.94241,0.83086,0,0.45183,0.83387,0.60316,0.47344,0.45044,0.83267,0.60261,0.35393,0.81721,0.86653,1.50146,0.83426,0,0.00991232,0.00991232,0.00991232
11,2918.35,0.78041,0.86567,0.87402,0.82113,0,0.39438,0.97898,0.59977,0.44383,0.39031,0.96631,0.58636,0.30334,0.99046,1.12756,2.31756,0.86643,0,0.00989183,0.00989183,0.00989183
12,3141.77,0.77938,0.82567,0.85479,0.82728,0,0.77717,0.89519,0.92218,0.75858,0.77297,0.8904,0.9149,0.57688,0.65462,0.70691,0.66772,0.81824,0,0.00986922,0.00986922,0.00986922
13,3348.06,0.73543,0.75993,0.80668,0.81621,0,0.86355,0.91183,0.95665,0.80766,0.86355,0.91183,0.95913,0.64124,0.61851,0.76607,0.62086,0.80933,0,0.00984449,0.00984449,0.00984449
14,3608.62,0.76414,0.85117,0.8363,0.81494,0,0.85054,0.92302,0.951,0.76669,0.84454,0.91682,0.93907,0.55642,0.68975,0.73832,0.61182,0.81764,0,0.00981765,0.00981765,0.00981765
15,3832.89,0.74628,0.80437,0.80796,0.81912,0,0.84299,0.90602,0.94437,0.79076,0.84088,0.91198,0.94566,0.60918,0.6268,0.69016,0.62698,0.8142,0,0.00978873,0.00978873,0.00978873
16,4085.81,0.74021,0.79458,0.70903,0.81171,0,0.66035,0.88569,0.78474,0.6582,0.65778,0.88203,0.7811,0.4985,0.64135,0.81341,0.87655,0.81407,0,0.00975773,0.00975773,0.00975773
17,4298.04,0.74189,0.8038,0.73406,0.81906,0,0.89575,0.86657,0.94949,0.78917,0.89612,0.86973,0.95065,0.66187,0.64841,0.65124,0.58877,0.81117,0,0.00972466,0.00972466,0.00972466
18,4540.07,0.73947,0.7556,0.70945,0.81427,0,0.54376,0.80592,0.64923,0.49724,0.53598,0.79123,0.62987,0.35403,0.8693,1.10318,1.69596,0.84277,0,0.00968955,0.00968955,0.00968955
19,4731.07,0.75984,0.82673,0.76374,0.8156,0,0.7853,0.8647,0.92614,0.78926,0.78102,0.85963,0.92373,0.59921,0.60195,0.71236,0.70875,0.80724,0,0.00965239,0.00965239,0.00965239
20,4995.63,0.71352,0.73836,0.67,0.81228,0,0.66426,0.89995,0.84267,0.68211,0.66262,0.89741,0.84099,0.5665,0.67976,0.72863,0.89096,0.81529,0,0.00961322,0.00961322,0.00961322
21,5206.34,0.67438,0.75492,0.61818,0.81129,0,0.54347,0.92068,0.74678,0.62503,0.54114,0.92031,0.73904,0.49267,0.62284,0.70381,1.01335,0.80532,0,0.00957205,0.00957205,0.00957205
22,5449.83,0.69703,0.74689,0.5878,0.80882,0,0.89157,0.9001,0.95066,0.7945,0.87998,0.89007,0.93782,0.60797,0.64639,0.71495,0.54575,0.81408,0,0.00952889,0.00952889,0.00952889
23,5644.93,0.69315,0.71909,0.59701,0.81168,0,0.88927,0.86042,0.94095,0.78535,0.88803,0.85922,0.94028,0.59638,0.61611,0.65386,0.59557,0.80855,0,0.00948377,0.00948377,0.00948377
24,5863.95,0.65553,0.73675,0.54553,0.80691,0,0.87279,0.91443,0.95085,0.80514,0.86879,0.90959,0.94607,0.58507,0.57878,0.67037,0.56805,0.80842,0,0.00943671,0.00943671,0.00943671
25,6086.77,0.63211,0.70899,0.51832,0.8067,0,0.75935,0.82015,0.90798,0.76512,0.75667,0.8177,0.9079,0.60639,0.60936,0.67557,0.6795,0.80834,0,0.00938772,0.00938772,0.00938772
26,6310.08,0.62651,0.69144,0.51978,0.79499,0,0.95408,0.94592,0.97559,0.8368,0.95202,0.94174,0.97267,0.62247,0.55546,0.63753,0.44133,0.80051,0,0.00933683,0.00933683,0.00933683
27,6539.96,0.66977,0.67566,0.55328,0.8044,0,0.88738,0.96004,0.97355,0.81494,0.88394,0.95633,0.96629,0.62035,0.58596,0.65936,0.51132,0.80672,0,0.00928405,0.00928405,0.00928405
28,6792.09,0.65246,0.72475,0.55616,0.80706,0,0.87727,0.8863,0.94109,0.78278,0.8721,0.88026,0.93514,0.54539,0.65723,0.75507,0.58361,0.81283,0,0.00922942,0.00922942,0.00922942
